evidence_category,scenario,checker,status,first_mismatch
rtl_litmus_herd,LB:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,LB_FENCE:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:19,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:20,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:21,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:22,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:23,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,RW_FENCE:24,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:0,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:1,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:2,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:3,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:4,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:5,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:6,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:7,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:8,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:9,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:10,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:11,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:12,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:13,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:14,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:15,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:16,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:17,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:18,RTL+coherence_model+exact_herd7,PASS,none
rtl_litmus_herd,WR:19,RTL+coherence_model+exact_herd7,PASS,none
