scenario,family,seed,operations,read_percent,conflict_percent,backpressure_percent,error_percent,reset_operation,reset_phase,strobe_profile,address_profile,address_base,address_span,realized_requested_ops,realized_reads,realized_writes,realized_conflicts,realized_injections,realized_error_responses,realized_resets,realized_full_strobes,realized_single_strobes,realized_partial_strobes,realized_bp_pct,realized_axi_stalls,realized_axi_valid,realized_addr_profile,realized_strobe_profile,mapped_test,trace,status
68,cache_random,1208219381,200,75,75,75,0,-1,idle,full,hot-set,00004000,00010000,200,136,64,0,0,0,0,64,0,0,75,38,198,hot-set,full,random,build/verilator/traces/stress_068.csv,PASS
69,dirty_eviction,47672771,100,25,75,0,0,-1,idle,single-byte,same-set,00004000,00010000,100,25,75,100,0,0,0,0,75,0,0,0,745,same-set,single-byte,random,build/verilator/traces/stress_069.csv,PASS
70,axi_backpressure,1297320862,50,50,50,25,0,-1,idle,full,same-set,00004000,00010000,50,27,23,50,0,0,0,23,0,0,25,58,373,same-set,full,random,build/verilator/traces/stress_070.csv,PASS
71,reset_error,1349141194,100,25,0,0,5,39,idle,full,hot-set,00004000,00010000,100,33,67,0,3,2,1,67,0,0,0,0,250,hot-set,full,random,build/verilator/traces/stress_071.csv,PASS
72,cache_random,1529528768,200,50,50,75,0,-1,idle,mixed,hot-set,00004000,00010000,200,99,101,0,0,0,0,0,31,70,75,64,224,hot-set,mixed,random,build/verilator/traces/stress_072.csv,PASS
73,dirty_eviction,442221195,200,25,75,25,0,-1,idle,full,same-set,00004000,00010000,200,40,160,200,0,0,0,160,0,0,25,332,1932,same-set,full,random,build/verilator/traces/stress_073.csv,PASS
74,axi_backpressure,455703794,200,75,25,50,0,-1,idle,single-byte,sequential,00004000,00010000,200,145,55,0,0,0,0,0,55,0,50,17,142,sequential,single-byte,random,build/verilator/traces/stress_074.csv,PASS
75,reset_error,2070173843,200,50,0,0,5,75,refill,full,uniform,00004000,00010000,200,109,91,0,9,9,1,91,0,0,0,1,1092,uniform,full,random,build/verilator/traces/stress_075.csv,PASS
76,cache_random,577849322,100,75,0,0,0,-1,idle,full,hot-set,00004000,00010000,100,79,21,0,0,0,0,21,0,0,0,0,145,hot-set,full,random,build/verilator/traces/stress_076.csv,PASS
77,dirty_eviction,222252827,50,25,75,75,0,-1,idle,full,same-set,00004000,00010000,50,14,36,50,0,0,0,36,0,0,75,484,849,same-set,full,random,build/verilator/traces/stress_077.csv,PASS
78,axi_backpressure,196493077,50,75,50,25,0,-1,idle,single-byte,uniform,00004000,00010000,50,40,10,26,0,0,0,0,10,0,25,33,283,uniform,single-byte,random,build/verilator/traces/stress_078.csv,PASS
79,reset_error,2002772323,100,50,0,0,5,52,idle,mixed,same-set,00004000,00010000,100,46,54,100,8,8,1,0,18,36,0,0,630,same-set,mixed,random,build/verilator/traces/stress_079.csv,PASS
80,cache_random,1266859763,50,50,0,50,0,-1,idle,single-byte,same-set,00004000,00010000,50,20,30,50,0,0,0,0,30,0,50,166,531,same-set,single-byte,random,build/verilator/traces/stress_080.csv,PASS
