backpressure_percent,kind,id,latency_cycles,error,trace
0,dirty-miss,81,19,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,82,13,0,build/verilator/traces/performance_bp_0.csv
0,hit,83,2,0,build/verilator/traces/performance_bp_0.csv
0,hit,84,2,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,85,13,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,86,19,0,build/verilator/traces/performance_bp_0.csv
0,hit,87,2,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,88,19,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,89,13,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,90,19,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,91,19,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,92,19,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,93,13,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,94,19,0,build/verilator/traces/performance_bp_0.csv
0,hit,95,2,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,96,13,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,97,19,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,98,19,0,build/verilator/traces/performance_bp_0.csv
0,hit,99,2,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,100,13,0,build/verilator/traces/performance_bp_0.csv
0,dirty-miss,101,19,0,build/verilator/traces/performance_bp_0.csv
0,maintenance-flush,-1,141,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,102,13,0,build/verilator/traces/performance_bp_0.csv
0,maintenance-invalidate,-1,129,0,build/verilator/traces/performance_bp_0.csv
0,clean-miss,103,13,0,build/verilator/traces/performance_bp_0.csv
0,maintenance-flush-invalidate,-1,135,0,build/verilator/traces/performance_bp_0.csv
25,clean-miss,1,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,2,16,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,3,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,4,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,5,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,6,21,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,7,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,8,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,9,16,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,10,23,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,11,22,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,12,14,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,13,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,14,15,0,build/verilator/traces/performance_bp_25.csv
25,hit,15,2,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,16,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,17,15,0,build/verilator/traces/performance_bp_25.csv
25,hit,18,2,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,19,14,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,20,22,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,21,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,22,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,23,21,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,24,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,25,16,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,26,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,27,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,28,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,29,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,30,16,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,31,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,32,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,33,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,34,21,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,35,21,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,36,23,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,37,23,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,38,21,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,39,14,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,40,14,0,build/verilator/traces/performance_bp_25.csv
25,hit,41,2,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,42,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,43,23,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,44,23,0,build/verilator/traces/performance_bp_25.csv
25,hit,45,2,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,46,23,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,47,21,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,48,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,49,21,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,50,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,51,14,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,52,14,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,53,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,54,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,55,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,56,21,0,build/verilator/traces/performance_bp_25.csv
25,hit,57,2,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,58,23,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,59,21,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,60,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,61,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,62,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,63,16,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,64,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,65,15,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,66,21,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,67,22,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,68,22,0,build/verilator/traces/performance_bp_25.csv
25,dirty-miss,69,23,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,70,15,0,build/verilator/traces/performance_bp_25.csv
25,clean-miss,71,16,0,build/verilator/traces/performance_bp_25.csv
