scenario,status,fence_harts,bypass_harts,event_trace,enriched_trace,first_mismatch
buffer_bypass,PASS,none,0;1,build/coherent/coverage_edge_traces/buffer_bypass_events.csv,build/coherent/coverage_edge_traces/buffer_bypass_enriched.jsonl,none
fence_stall,PASS,0;1,none,build/coherent/coverage_edge_traces/fence_stall_events.csv,build/coherent/coverage_edge_traces/fence_stall_enriched.jsonl,none
